id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
886254237493082323,Designer studio close to lake,95016230,Mathias,Kreis 8,Weinegg,47.35553718473096,8.561556271207008,Entire home/apt,160,4,4,2023-12-26,0.37,1,319,4,
886997709762276529,"Cozy, central flat in Zurich (6)",461233337,Maxime,Kreis 6,Unterstrass,47.39317,8.54417,Entire home/apt,,7,0,,,1,0,0,
887028830601660701,Tolle Wohnung in Altstetten,402242435,Daniel,Kreis 4,Hard,47.388778536657064,8.499220259236903,Entire home/apt,500,1,0,,,1,87,0,
887323336908333599,wohnen in architekturikone,6261485,Anna,Kreis 9,Albisrieden,47.36672,8.49436,Entire home/apt,109,2,0,,,1,351,0,
887355391301981871,"Haubarg
Bequemes Zimmer in ausgezeichneter Lage",140148745,Luiz,Kreis 11,Seebach,47.4149569,8.5489416,Private room,79,1,57,2024-06-19,4.22,1,58,51,
888099159183228101,"Two-room apartments ""Cozy Home Apartment""",514094775,Tetiana,Kreis 4,Werd,47.37182,8.52876,Entire home/apt,149,1,63,2024-06-24,4.69,1,180,58,
888262845307964317,+room incl. instrument in the heart of Zurich,444356439,Joerg,Kreis 4,Langstrasse,47.376622900000015,8.524579457672132,Private room,27,1,72,2024-06-16,5.27,6,142,61,
888275394125377304,Basic Apartment in vibrant residential part of ZH!,1229459,Swissstay,Kreis 3,Sihlfeld,47.37087,8.51501,Entire home/apt,114,2,38,2024-06-14,2.83,80,46,33,
888309544518575693,Zh Digitus - Riesbach HITrental Apartments,12886487,Stephanie,Kreis 8,Weinegg,47.35625,8.57219,Entire home/apt,157,1,5,2024-05-28,0.42,107,116,5,
888340297679251668,Zh Mandibula 3 - Riesbach HITrental Apartments,12886487,Stephanie,Kreis 8,Weinegg,47.35741,8.57207,Entire home/apt,75,1,1,2023-06-19,0.08,107,273,0,
